Date,Open,High,Low,Close,Adj Close,Volume
2023-07-14,190.229996,191.179993,189.630005,190.690002,189.939941,41573900
2023-07-17,191.899994,194.320007,191.809998,193.990005,193.226944,50520200
2023-07-18,193.350006,194.330002,192.419998,193.729996,192.967957,48353800
2023-07-19,193.100006,198.229996,192.649994,195.100006,194.332565,80507300
2023-07-20,195.089996,196.470001,192.500000,193.130005,192.370331,59581200
2023-07-21,194.100006,194.970001,191.229996,191.940002,191.184998,71917800
2023-07-24,193.410004,194.910004,192.250000,192.750000,191.991821,45377800
2023-07-25,193.330002,194.440002,192.919998,193.619995,192.858398,37283200
2023-07-26,193.669998,195.639999,193.320007,194.500000,193.734924,47471900
2023-07-27,196.020004,197.199997,192.550003,193.220001,192.459961,47460200
2023-07-28,194.669998,196.630005,194.139999,195.830002,195.059708,48291400
2023-07-31,196.059998,196.490005,195.259995,196.449997,195.677261,38824100
2023-08-01,196.240005,196.729996,195.279999,195.610001,194.840561,35175100
2023-08-02,195.039993,195.179993,191.850006,192.580002,191.822495,50389300
2023-08-03,191.570007,192.369995,190.690002,191.169998,190.418030,61235200
2023-08-04,185.520004,187.380005,181.919998,181.990005,181.274139,115799700
2023-08-07,182.130005,183.130005,177.350006,178.850006,178.146515,97576100
2023-08-08,179.690002,180.270004,177.580002,179.800003,179.092758,67823000
2023-08-09,180.869995,180.929993,177.009995,178.190002,177.489105,60378500
2023-08-10,179.479996,180.750000,177.600006,177.970001,177.269943,54686900
2023-08-11,177.320007,178.619995,176.550003,177.789993,177.329788,51988100
2023-08-14,177.970001,179.690002,177.309998,179.460007,178.995499,43675600
2023-08-15,178.880005,179.479996,177.050003,177.449997,176.990677,43622600
2023-08-16,177.130005,178.539993,176.500000,176.570007,176.112961,46964900
2023-08-17,177.139999,177.509995,173.479996,174.000000,173.549622,66062900
2023-08-18,172.300003,175.100006,171.960007,174.490005,174.038361,61114200
2023-08-21,175.070007,176.130005,173.740005,175.839996,175.384842,46311900
2023-08-22,177.059998,177.679993,176.250000,177.229996,176.771255,42084200
2023-08-23,178.520004,181.550003,178.330002,181.119995,180.651184,52722800
2023-08-24,180.669998,181.100006,176.009995,176.380005,175.923462,54945800
2023-08-25,177.380005,179.149994,175.820007,178.610001,178.147690,51449600
2023-08-28,180.089996,180.589996,178.550003,180.190002,179.723602,43820700
2023-08-29,179.699997,184.899994,179.500000,184.119995,183.643402,53003900
2023-08-30,184.940002,187.850006,184.740005,187.649994,187.164276,60813900
2023-08-31,187.839996,189.119995,187.479996,187.869995,187.383698,60794500
2023-09-01,189.490005,189.919998,188.279999,189.460007,188.969589,45732600
2023-09-05,188.279999,189.979996,187.610001,189.699997,189.208969,45280000
2023-09-06,188.399994,188.850006,181.470001,182.910004,182.436539,81755800
2023-09-07,175.179993,178.210007,173.539993,177.559998,177.100388,112488800
2023-09-08,178.350006,180.240005,177.789993,178.179993,177.718781,65551300
2023-09-11,180.070007,180.300003,177.339996,179.360001,178.895737,58953100
2023-09-12,179.490005,180.130005,174.820007,176.300003,175.843674,90370200
2023-09-13,176.509995,177.300003,173.979996,174.210007,173.759079,84267900
2023-09-14,174.000000,176.100006,173.580002,175.740005,175.285110,60895800
2023-09-15,176.479996,176.500000,173.820007,175.009995,174.556992,109205100
2023-09-18,176.479996,179.380005,176.169998,177.970001,177.509338,67257600
2023-09-19,177.520004,179.630005,177.130005,179.070007,178.606491,51826900
2023-09-20,179.259995,179.699997,175.399994,175.490005,175.035751,58436200
2023-09-21,174.550003,176.300003,173.860001,173.929993,173.479782,63047900
2023-09-22,174.669998,177.080002,174.050003,174.789993,174.337570,56725400
2023-09-25,174.199997,176.970001,174.149994,176.080002,175.624237,46172700
2023-09-26,174.820007,175.199997,171.660004,171.960007,171.514893,64588900
2023-09-27,172.619995,173.039993,169.050003,170.429993,169.988846,66921800
2023-09-28,169.339996,172.029999,167.619995,170.690002,170.248184,56294400
2023-09-29,172.020004,173.070007,170.339996,171.210007,170.766846,51814200
